Date,Year,Month,Region,CustomerSegment,Channel,Category,SubCategory,Product,Quantity,UnitPrice,DiscountRate,Sales,Cost,Profit
2024-10-25,2024,10,San Antonio,Corporate,In-Store,Furniture,Furniture,Conference Table,47,293.05,0.13,11982.81,8679.9,3302.91
2023-10-15,2023,10,San Diego,Small Business,Online,Office Supplies,Office Supplies,Stapler,24,150.73,0.1,3255.77,2549.88,705.89
2024-05-25,2024,5,San Antonio,Corporate,In-Store,Electronics,Electronics,MacBook Pro 16,22,686.54,0.28,10874.79,7396.72,3478.07
2025-12-02,2025,12,Dallas,Small Business,In-Store,Office Supplies,Office Supplies,Printer Paper,18,403.51,0.22,5665.28,4519.76,1145.52
2023-04-03,2023,4,Dallas,Corporate,In-Store,Clothing,Clothing,Men's T-Shirt,1,635.54,0.28,457.59,367.95,89.64
2023-09-28,2023,9,San Antonio,Consumer,Online,Furniture,Furniture,File Cabinet,72,313.29,0.0,22556.88,17522.29,5034.59
2023-05-26,2023,5,San Jose,Small Business,In-Store,Clothing,Clothing,Jacket,89,62.5,0.09,5061.88,4376.21,685.67
2025-11-09,2025,11,Philadelphia,Small Business,Online,Clothing,Clothing,Jacket,65,380.69,0.17,20538.23,17280.92,3257.31
2023-05-03,2023,5,Houston,Consumer,In-Store,Electronics,Electronics,Fitbit Versa 4,76,299.44,0.26,16840.51,12343.66,4496.85
2024-05-30,2024,5,San Antonio,Small Business,Online,Clothing,Clothing,Women's Jeans,54,243.04,0.16,11024.29,6944.97,4079.32
2025-10-17,2025,10,Houston,Home Office,In-Store,Furniture,Furniture,File Cabinet,17,992.98,0.17,14010.95,10014.1,3996.85
2023-04-29,2023,4,Dallas,Home Office,Online,Clothing,Clothing,Sneakers,87,989.13,0.03,83472.68,60923.58,22549.1
2023-09-19,2023,9,Philadelphia,Small Business,In-Store,Electronics,Electronics,GoPro HERO11,23,753.76,0.13,15082.74,9596.91,5485.83
2025-03-15,2025,3,Dallas,Small Business,Online,Electronics,Electronics,Samsung Galaxy S23,73,590.28,0.22,33610.54,30194.46,3416.08
2023-08-28,2023,8,Phoenix,Small Business,Online,Furniture,Furniture,Bookshelf,94,985.77,0.16,77836.4,65961.87,11874.53
2023-11-30,2023,11,New York,Consumer,In-Store,Office Supplies,Office Supplies,Ballpoint Pen,28,988.97,0.23,21322.19,18492.88,2829.31
2023-10-17,2023,10,Dallas,Corporate,In-Store,Office Supplies,Office Supplies,Ballpoint Pen,62,881.9,0.1,49210.02,39558.8,9651.22
2025-10-04,2025,10,Chicago,Consumer,Online,Electronics,Electronics,MacBook Pro 16,16,87.07,0.3,975.18,612.84,362.34
2025-01-02,2025,1,Phoenix,Consumer,Online,Electronics,Electronics,Sony WH-1000XM5,56,216.93,0.2,9718.46,6081.84,3636.62
2023-03-21,2023,3,Dallas,Home Office,In-Store,Office Supplies,Office Supplies,Printer Paper,36,705.67,0.17,21085.42,14781.92,6303.5
2025-01-01,2025,1,Los Angeles,Corporate,In-Store,Office Supplies,Office Supplies,Ballpoint Pen,10,371.59,0.06,3492.95,2405.56,1087.39
2025-11-28,2025,11,San Antonio,Consumer,In-Store,Electronics,Electronics,Fitbit Versa 4,67,72.18,0.07,4497.54,3872.94,624.6
2025-10-05,2025,10,San Diego,Home Office,Online,Office Supplies,Office Supplies,Desk Lamp,18,795.76,0.2,11458.94,10193.85,1265.09
2024-08-10,2024,8,Houston,Corporate,Online,Office Supplies,Office Supplies,Stapler,49,547.96,0.01,26581.54,18304.61,8276.93
2023-11-12,2023,11,San Diego,Small Business,In-Store,Clothing,Clothing,Sneakers,23,380.05,0.2,6992.92,5272.72,1720.2
2023-01-29,2023,1,New York,Consumer,Online,Clothing,Clothing,Jacket,79,431.77,0.17,28311.16,23264.28,5046.88
2024-11-27,2024,11,Chicago,Corporate,Online,Electronics,Electronics,Nikon D3500 DSLR,22,868.94,0.19,15484.51,9520.11,5964.4
2025-06-11,2025,6,Houston,Home Office,In-Store,Furniture,Furniture,Office Chair,61,330.73,0.16,16946.61,11127.33,5819.28
2024-04-16,2024,4,Los Angeles,Home Office,In-Store,Office Supplies,Office Supplies,Notebook,60,913.15,0.01,54241.11,35764.86,18476.25
2024-05-29,2024,5,Chicago,Corporate,Online,Clothing,Clothing,Men's T-Shirt,15,255.73,0.08,3529.07,2761.27,767.8
2023-11-22,2023,11,Phoenix,Small Business,Online,Clothing,Clothing,Women's Jeans,31,121.7,0.27,2754.07,1964.05,790.02
2025-03-25,2025,3,Dallas,Corporate,Online,Furniture,Furniture,Conference Table,1,718.16,0.18,588.89,414.3,174.59
2025-12-29,2025,12,Houston,Small Business,Online,Office Supplies,Office Supplies,Ballpoint Pen,71,540.14,0.01,37966.44,27351.13,10615.31
2023-10-28,2023,10,San Diego,Consumer,Online,Electronics,Electronics,Samsung Galaxy S23,57,60.06,0.14,2944.14,2254.18,689.96
2025-06-23,2025,6,Los Angeles,Corporate,Online,Office Supplies,Office Supplies,Notebook,97,472.1,0.27,33429.4,22151.95,11277.45
2024-03-04,2024,3,San Diego,Small Business,In-Store,Clothing,Clothing,Sneakers,99,706.43,0.01,69237.2,56816.28,12420.92
2025-02-13,2025,2,San Antonio,Consumer,Online,Office Supplies,Office Supplies,Ballpoint Pen,71,940.32,0.02,65427.47,57833.47,7594.0
2024-01-16,2024,1,Houston,Consumer,Online,Furniture,Furniture,Standing Desk,42,978.21,0.22,32046.16,22197.79,9848.37
2023-03-22,2023,3,New York,Home Office,Online,Clothing,Clothing,Sneakers,75,491.81,0.14,31721.74,22199.92,9521.82
2025-09-12,2025,9,Los Angeles,Corporate,Online,Furniture,Furniture,Office Chair,8,109.89,0.22,685.71,578.41,107.3
2023-05-01,2023,5,Dallas,Home Office,Online,Clothing,Clothing,Men's T-Shirt,43,63.74,0.18,2247.47,1807.25,440.22
2024-01-07,2024,1,San Antonio,Small Business,Online,Clothing,Clothing,Women's Jeans,100,452.66,0.13,39381.42,28585.56,10795.86
2024-04-22,2024,4,San Antonio,Home Office,Online,Furniture,Furniture,File Cabinet,42,445.17,0.14,16079.54,11576.34,4503.2
2024-10-08,2024,10,Phoenix,Corporate,Online,Clothing,Clothing,Sneakers,9,235.83,0.13,1846.55,1584.46,262.09
2023-11-16,2023,11,San Diego,Consumer,Online,Electronics,Electronics,MacBook Pro 16,33,925.12,0.19,24728.46,19827.98,4900.48
2023-08-27,2023,8,Philadelphia,Small Business,In-Store,Electronics,Electronics,Dell XPS 13,87,685.47,0.1,53672.3,47885.48,5786.82
2024-03-19,2024,3,San Antonio,Consumer,Online,Electronics,Electronics,Nikon D3500 DSLR,11,953.38,0.19,8494.62,7226.9,1267.72
2024-08-15,2024,8,Philadelphia,Corporate,Online,Electronics,Electronics,Dell XPS 13,21,399.48,0.15,7130.72,6285.6,845.12
2024-10-14,2024,10,San Diego,Small Business,In-Store,Furniture,Furniture,Bookshelf,45,393.81,0.27,12936.66,11253.45,1683.21
2025-03-16,2025,3,San Antonio,Home Office,Online,Clothing,Clothing,Men's T-Shirt,28,355.63,0.15,8463.99,5953.94,2510.05
2025-08-16,2025,8,Phoenix,Small Business,In-Store,Office Supplies,Office Supplies,Stapler,42,792.41,0.29,23629.67,14688.06,8941.61
2024-12-09,2024,12,San Diego,Small Business,Online,Clothing,Clothing,Women's Jeans,84,612.16,0.12,45250.87,27711.1,17539.77
2023-11-18,2023,11,Dallas,Home Office,In-Store,Electronics,Electronics,Nikon D3500 DSLR,13,472.06,0.11,5461.73,4061.23,1400.5
2025-09-07,2025,9,Chicago,Small Business,Online,Electronics,Electronics,Fitbit Versa 4,75,683.57,0.11,45628.3,38903.29,6725.01
